Actual Temperature,Predicted Temperature,Absolute Error
61.8125,62.512585,0.7000847
61.5,62.841133,1.3411331
60.25,62.244186,1.9941864
59.125,61.943268,2.8182678
60.6875,61.00239,0.31489182
60.75,61.79235,1.0423508
60.8125,61.533466,0.72096634
59.0,61.540436,2.5404358
62.75,60.888428,1.8615723
61.875,61.500713,0.37428665
61.625,61.635757,0.010757446
62.875,61.905296,0.9697037
60.4375,61.99097,1.5534706
60.9375,61.553013,0.61551285
65.8125,61.503014,4.3094864
61.625,62.56137,0.93637085
60.875,62.514053,1.6390533
61.75,62.449196,0.69919586
66.1875,62.703625,3.4838753
65.375,63.684162,1.6908379
61.375,64.0529,2.6779022
61.875,63.39604,1.5210419
65.875,63.292065,2.5829353
62.6875,64.08984,1.4023438
64.75,63.20432,1.545681
66.625,63.989605,2.635395
62.25,64.535736,2.285736
60.5,64.14345,3.6434479
62.3125,63.711826,1.3993263
62.3125,63.434216,1.1217155
61.5,63.069332,1.5693321
61.0625,62.72779,1.6652908
65.25,63.024143,2.2258568
67.6875,63.735546,3.951954
61.625,64.52173,2.8967285
61.5,63.445942,1.9459419
58.9375,62.882225,3.944725
61.75,62.124134,0.37413406
60.9375,62.27112,1.3336182
61.3125,62.428814,1.1163139
61.75,62.414234,0.66423416
61.25,62.308075,1.058075
61.5,62.31865,0.8186493
61.875,62.332245,0.45724487
58.875,62.03442,3.15942
61.375,61.398617,0.02361679
60.375,61.680893,1.305893
61.375,61.77338,0.39838028
66.0625,61.96646,4.096039
61.0,62.91357,1.9135704
60.125,62.507435,2.3824348
61.125,62.237022,1.1120224
59.375,61.917114,2.5421143
58.625,61.53691,2.911911
59.5,60.958862,1.4588623
61.375,61.090805,0.28419495
62.8125,61.555134,1.2573662
59.25,61.840572,2.5905724
63.0,61.210968,1.789032
62.5,61.42786,1.0721397
57.9375,61.620483,3.6829834
60.25,61.365444,1.1154442
59.125,61.253742,2.1287422
61.0625,61.193867,0.13136673
61.375,61.745743,0.3707428
61.5,61.35993,0.14007187
60.6875,61.779083,1.0915833
59.0,61.90963,2.9096298
57.625,60.98555,3.36055
57.5625,60.57176,3.0092583
59.0,60.262665,1.2626648
59.5,60.004112,0.50411224
60.5,60.29246,0.2075386
61.375,60.423515,0.9514847
60.625,61.109882,0.48488235
63.5625,60.741642,2.820858
60.5625,61.745087,1.1825867
64.0625,61.369003,2.6934967
58.625,62.02359,3.39859
62.25,60.69806,1.5519409
57.875,61.949398,4.074398
60.6875,60.612823,0.07467651
60.25,60.974937,0.72493744
60.9375,61.2156,0.27809906
57.25,61.467407,4.217407
61.125,60.16429,0.9607086
62.5625,60.53559,2.0269089
57.3125,60.97313,3.6606293
60.25,60.149864,0.1001358
60.875,60.589222,0.28577805
62.0,60.559956,1.4400444
59.9375,61.250607,1.3131065
59.375,60.864185,1.4891853
61.1875,61.143246,0.044254303
59.5,61.13746,1.6374588
60.0,61.271988,1.2719879
63.625,61.221848,2.4031525
59.125,61.51824,2.393242
59.5,60.88044,1.3804398
55.6875,60.817013,5.129513
60.0,59.666214,0.333786
59.125,60.285446,1.1604462
57.5,59.996567,2.4965668
56.5,59.556664,3.0566635
58.0,59.30394,1.3039398
56.0,59.42302,3.4230194
62.625,59.184555,3.440445
59.4375,60.159187,0.7216873
58.5625,59.997177,1.4346771
58.5,60.09632,1.5963211
58.5,59.481083,0.9810829
59.875,59.953533,0.07853317
59.125,59.683125,0.55812454
60.3125,59.279343,1.0331573
64.9375,59.90732,5.030182
65.625,61.086548,4.538452
59.0625,62.141834,3.0793343
61.0,60.944878,0.055122375
58.25,61.428024,3.1780243
58.5625,60.345936,1.7834358
58.0625,60.070396,2.0078964
59.0,59.91638,0.91638184
58.75,60.278683,1.5286827
59.1875,59.775383,0.587883
59.75,60.01882,0.26882172
56.0,60.32546,4.3254585
57.5625,58.843773,1.2812729
58.5625,58.958458,0.39595795
56.3125,59.09253,2.7800293
58.25,58.882553,0.6325531
55.6875,58.773354,3.0858536
61.625,58.19996,3.4250412
59.0,59.415108,0.41510773
56.75,59.551327,2.8013268
58.5,58.80824,0.30823898
58.5,58.906986,0.40698624
58.3125,59.20937,0.89686966
62.875,59.72751,3.1474915
61.375,60.09327,1.2817307
61.375,60.507042,0.86795807
60.375,60.80086,0.42586136
61.0625,61.171665,0.10916519
58.625,61.03176,2.4067612
58.6875,60.399075,1.7115746
59.125,60.287376,1.1623764
59.25,60.30136,1.0513611
60.25,60.70308,0.45307922
61.8125,60.208385,1.6041145
64.875,60.903183,3.971817
63.0,62.409687,0.59031296
63.25,62.661602,0.588398
63.6875,62.864437,0.8230629
64.6875,63.18012,1.5073814
63.5,63.214096,0.28590393
64.875,63.542664,1.3323364
64.25,63.564358,0.68564224
66.6875,63.81181,2.8756905
65.875,64.41257,1.4624329
63.625,64.5787,0.9536972
63.75,63.923367,0.17336655
61.8125,63.67508,1.8625793
66.25,63.34461,2.9053917
62.125,63.769203,1.6442032
62.5,63.24624,0.7462387
61.9375,63.10113,1.1636314
63.0625,62.705093,0.35740662
61.0625,62.966873,1.9043732
65.75,62.181877,3.5681229
62.375,63.333057,0.9580574
62.9375,62.83327,0.10422897
62.0625,62.798786,0.73628616
62.3125,62.570625,0.2581253
61.0,62.489685,1.489685
